,title,artist,id,link,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,track_href,duration_ms,label
4104,Voy a Extrañarte,Andrés Cepeda,35f2y2EmJVfV3NsiQ8Yys6,https://open.spotify.com/artist/49Z1AvGeUaBSanPaOmplK6,0.481,0.266,8,-8.953,1,0.0348,0.825,0,0.148,0.442,88.206,spotify:track:35f2y2EmJVfV3NsiQ8Yys6,https://api.spotify.com/v1/tracks/35f2y2EmJVfV3NsiQ8Yys6,165669,nothot
4105,Splitting The Atom,Massive Attack,1r9mGafUiSgumJoRqyLrSt,https://open.spotify.com/artist/6FXMGgJwohJLUSr5nVlf9X,0.72,0.358,0,-9.776,0,0.0351,0.495,0.0354,0.186,0.59,100.044,spotify:track:1r9mGafUiSgumJoRqyLrSt,https://api.spotify.com/v1/tracks/1r9mGafUiSgumJoRqyLrSt,316627,nothot
4106,Give It Back,Polly Paulusma,2CGOVUaXeKoB53khgtBqYd,https://open.spotify.com/artist/5MtEhepub9ltryoNniab4a,0.536,0.663,0,-7.24,1,0.029,0.434,0.117,0.144,0.64,83.642,spotify:track:2CGOVUaXeKoB53khgtBqYd,https://api.spotify.com/v1/tracks/2CGOVUaXeKoB53khgtBqYd,223827,nothot
4107,Mílanó,Sigur Rós,6pTFphd3yM7YDTSWXYT5yl,https://open.spotify.com/artist/6UUrUCIZtQeOf8tC0WuzRy,0.181,0.323,2,-9.909,1,0.0353,0.924,0.872,0.0514,0.0389,109.34,spotify:track:6pTFphd3yM7YDTSWXYT5yl,https://api.spotify.com/v1/tracks/6pTFphd3yM7YDTSWXYT5yl,638080,nothot
4108,Tal Vez,Belanova,4UjWhNHu1ajJFM0w8sIzcW,https://open.spotify.com/artist/3oNy8cjBtJzLC07I70sklp,0.515,0.381,5,-8.638,1,0.0255,0.534,0.000172,0.109,0.218,97.943,spotify:track:4UjWhNHu1ajJFM0w8sIzcW,https://api.spotify.com/v1/tracks/4UjWhNHu1ajJFM0w8sIzcW,178227,nothot
4109,Magic Bus,The Who,5PKnZzkjs2y3WTbIYtv5Fq,https://open.spotify.com/artist/67ea9eGLXYMsO2eYQRui3w,0.632,0.947,7,-5.761,1,0.0732,0.00486,0,0.282,0.719,92.313,spotify:track:5PKnZzkjs2y3WTbIYtv5Fq,https://api.spotify.com/v1/tracks/5PKnZzkjs2y3WTbIYtv5Fq,202667,nothot
4110,Is It A Crime,Sade,1XR1X1VTyTOVdPgH18RdME,https://open.spotify.com/artist/47zz7sob9NUcODy0BTDvKx,0.452,0.377,5,-10.138,0,0.0324,0.22,0.00588,0.212,0.532,122.423,spotify:track:1XR1X1VTyTOVdPgH18RdME,https://api.spotify.com/v1/tracks/1XR1X1VTyTOVdPgH18RdME,381133,nothot
4111,Jeremy,Pearl Jam,62nQ8UZVqR2RMvkJHkcO2o,https://open.spotify.com/artist/1w5Kfo2jwwIPruYS2UWh56,0.285,0.846,2,-6.472,1,0.0438,0.0404,0,0.182,0.287,108.808,spotify:track:62nQ8UZVqR2RMvkJHkcO2o,https://api.spotify.com/v1/tracks/62nQ8UZVqR2RMvkJHkcO2o,318227,nothot
4112,Cant Take My Eyes Off You,Muse,3Y4m9Td603gbfMB86UNafs,https://open.spotify.com/artist/12Chz98pHFMPJEknJQMWvI,0.357,0.678,0,-5.388,1,0.041,0.0371,0.0195,0.217,0.281,126.733,spotify:track:3Y4m9Td603gbfMB86UNafs,https://api.spotify.com/v1/tracks/3Y4m9Td603gbfMB86UNafs,211120,nothot
4113,A Great Big Sled,"The Killers, Toni Halliday",6PEb3JwszTk7lyhG23SC7q,https://open.spotify.com/artist/0C0XlULifJtAgn6ZNCW2eu,0.532,0.872,0,-3.869,1,0.0636,0.00223,0,0.283,0.299,127.959,spotify:track:6PEb3JwszTk7lyhG23SC7q,https://api.spotify.com/v1/tracks/6PEb3JwszTk7lyhG23SC7q,262587,nothot
4114,Black Water,"Edward Sharpe, The Magnetic Zeros",6p4y1sx0mKgmR6y1csjhm4,https://open.spotify.com/artist/7giUHu5pv6YTZgSkxxCcgh,0.184,0.638,2,-7.154,0,0.037,0.322,0.233,0.422,0.284,76.632,spotify:track:6p4y1sx0mKgmR6y1csjhm4,https://api.spotify.com/v1/tracks/6p4y1sx0mKgmR6y1csjhm4,230640,nothot
4115,Watching Lara,Yann Tiersen,1z65HVczcbbDqpiWHgJNVy,https://open.spotify.com/artist/00sazWvoTLOqg5MFwC68Um,0.499,0.0395,4,-17.588,1,0.0432,0.991,0.96,0.11,0.152,79.879,spotify:track:1z65HVczcbbDqpiWHgJNVy,https://api.spotify.com/v1/tracks/1z65HVczcbbDqpiWHgJNVy,88453,nothot
4116,Every Planet We Reach Is Dead,Gorillaz,2pw9RZWZibttZzoFhwjuy6,https://open.spotify.com/artist/3AA28KZvwAUcZuOKwyblJQ,0.579,0.493,4,-7.062,0,0.0271,0.0168,0.0133,0.0752,0.367,88.172,spotify:track:2pw9RZWZibttZzoFhwjuy6,https://api.spotify.com/v1/tracks/2pw9RZWZibttZzoFhwjuy6,295267,nothot
4117,The Stars of Track and Field,Belle and Sebastian,347H4auwVHcnWIsiYlVGWO,https://open.spotify.com/artist/4I2BJf80C0skQpp1sQmA0h,0.444,0.315,11,-14.393,1,0.0485,0.224,6.07e-05,0.358,0.378,120.663,spotify:track:347H4auwVHcnWIsiYlVGWO,https://api.spotify.com/v1/tracks/347H4auwVHcnWIsiYlVGWO,288573,nothot
