,title,artist,id,link,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,track_href,duration_ms,label
55,Damn Strait,Scotty McCreery,4jp9FimhP2bQ93vR0A5r7b,https://open.spotify.com/artist/6ZV6lGY0prbqpTD0Md8i29,0.523,0.64,4,-6.15,1,0.0295,0.0512,5.52e-05,0.0675,0.48,144.022,spotify:track:4jp9FimhP2bQ93vR0A5r7b,https://api.spotify.com/v1/tracks/4jp9FimhP2bQ93vR0A5r7b,230227,hot
56,Bad Decisions,"benny blanco, BTS, Snoop Dogg",0xzI1KAr0Yd9tv8jlIk3sn,https://open.spotify.com/artist/5CiGnKThu5ctn9pBxv7DGa,0.762,0.861,0,-3.296,1,0.0955,0.0185,0,0.264,0.955,120.048,spotify:track:0xzI1KAr0Yd9tv8jlIk3sn,https://api.spotify.com/v1/tracks/0xzI1KAr0Yd9tv8jlIk3sn,172714,hot
57,Forever,Rod Wave,4mChXwwU4xbiYIP7QQeLFP,https://open.spotify.com/artist/45TgXXqMDdF8BkjA83OM7z,0.626,0.524,3,-8.987,1,0.0411,0.566,1.14e-05,0.103,0.451,129.996,spotify:track:4mChXwwU4xbiYIP7QQeLFP,https://api.spotify.com/v1/tracks/4mChXwwU4xbiYIP7QQeLFP,214186,hot
58,Ojitos Lindos,"Bad Bunny, Bomba Estereo",3k3NWokhRRkEPhCzPmV8TW,https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X,0.647,0.686,3,-5.745,0,0.0413,0.08,1.34e-06,0.528,0.268,79.928,spotify:track:3k3NWokhRRkEPhCzPmV8TW,https://api.spotify.com/v1/tracks/3k3NWokhRRkEPhCzPmV8TW,258299,hot
59,Bones,Imagine Dragons,0HqZX76SFLDz2aW8aiqi7G,https://open.spotify.com/artist/53XhwfbYqKCa1cC15pYq2q,0.773,0.742,5,-3.678,0,0.046,0.0206,0,0.0754,0.571,114.071,spotify:track:0HqZX76SFLDz2aW8aiqi7G,https://api.spotify.com/v1/tracks/0HqZX76SFLDz2aW8aiqi7G,165265,hot
60,So Good,Halsey,6kxaaIeowajN7w21PfMLbu,https://open.spotify.com/artist/26VFTg2z8YR0cCuwLzESi2,0.576,0.627,3,-4.649,0,0.0449,0.0385,0,0.181,0.311,164.998,spotify:track:6kxaaIeowajN7w21PfMLbu,https://api.spotify.com/v1/tracks/6kxaaIeowajN7w21PfMLbu,176059,hot
61,Her,Megan Thee Stallion,5hHvFrMnwic82WwRLr4WY0,https://open.spotify.com/artist/181bsRPaVXVlUKXrxwZfHK,0.945,0.848,1,-4.76,1,0.326,0.374,3.31e-05,0.101,0.819,119.918,spotify:track:5hHvFrMnwic82WwRLr4WY0,https://api.spotify.com/v1/tracks/5hHvFrMnwic82WwRLr4WY0,137107,hot
62,Sleazy Flow,"SleazyWorld Go, Lil Baby",5cx7vkF8BQ0iOsVpfvZbnz,https://open.spotify.com/artist/7FOQfJbC3e4GNoheojERnF,0.869,0.298,2,-12.076,1,0.386,0.2,0,0.0753,0.178,77.47,spotify:track:5cx7vkF8BQ0iOsVpfvZbnz,https://api.spotify.com/v1/tracks/5cx7vkF8BQ0iOsVpfvZbnz,161355,hot
63,Victoria’s Secret,Jax,4svaKoxMMP7ImmKrD5hfQu,https://open.spotify.com/artist/7DQYAz99eM3Y5PkP9WtUew,0.586,0.556,6,-7.639,1,0.0592,0.00655,0,0.0836,0.517,167.018,spotify:track:4svaKoxMMP7ImmKrD5hfQu,https://api.spotify.com/v1/tracks/4svaKoxMMP7ImmKrD5hfQu,176125,hot
64,Despues de La Playa,Bad Bunny,1dm6z1fWB0cErMszU25dy2,https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X,0.564,0.903,5,-3.221,1,0.307,0.356,0,0.175,0.607,78.293,spotify:track:1dm6z1fWB0cErMszU25dy2,https://api.spotify.com/v1/tracks/1dm6z1fWB0cErMszU25dy2,230400,hot
65,Stone Rolling,Rod Wave,4ur8qEgQgCCZaD1Jf4XRMF,https://open.spotify.com/artist/45TgXXqMDdF8BkjA83OM7z,0.622,0.533,2,-11.149,1,0.0452,0.0579,0,0.152,0.363,170.04,spotify:track:4ur8qEgQgCCZaD1Jf4XRMF,https://api.spotify.com/v1/tracks/4ur8qEgQgCCZaD1Jf4XRMF,180706,hot
66,Alien Superstar,Beyonce,1Hohk6AufHZOrrhMXZppax,https://open.spotify.com/artist/6vWDO969PvNqNYHIOW5v0m,0.545,0.641,10,-6.398,0,0.0998,0.00453,6.59e-05,0.171,0.464,121.892,spotify:track:1Hohk6AufHZOrrhMXZppax,https://api.spotify.com/v1/tracks/1Hohk6AufHZOrrhMXZppax,215460,hot
67,Unstoppable,Sia,1yvMUkIOTeUNtNWlWRgANS,https://open.spotify.com/artist/5WUlDfRSoLAfcVSX1WnrxN,0.468,0.779,9,-4.839,1,0.0779,0.112,0.000373,0.101,0.26,173.799,spotify:track:1yvMUkIOTeUNtNWlWRgANS,https://api.spotify.com/v1/tracks/1yvMUkIOTeUNtNWlWRgANS,217747,hot
68,Free Mind,Tems,2mzM4Y0Rnx2BDZqRnhQ5Q6,https://open.spotify.com/artist/687cZJR45JO7jhk1LHIbgq,0.562,0.463,6,-7.478,1,0.0787,0.442,0.000145,0.157,0.416,125.15,spotify:track:2mzM4Y0Rnx2BDZqRnhQ5Q6,https://api.spotify.com/v1/tracks/2mzM4Y0Rnx2BDZqRnhQ5Q6,247579,hot
69,Wishful Drinking,"Ingrid Andress, Sam Hunt",5OnX7kQHcoutXhqgL76VJQ,https://open.spotify.com/artist/0jPnVIasXzBYjrlpO5irii,0.678,0.528,10,-7.317,1,0.0551,0.289,0,0.0734,0.614,79.018,spotify:track:5OnX7kQHcoutXhqgL76VJQ,https://api.spotify.com/v1/tracks/5OnX7kQHcoutXhqgL76VJQ,194545,hot
70,No Deal,Rod Wave,2GJxkCRFJ6maLi2VmYRX9R,https://open.spotify.com/artist/45TgXXqMDdF8BkjA83OM7z,0.752,0.523,10,-8.033,1,0.355,0.0478,0,0.0622,0.192,81.48,spotify:track:2GJxkCRFJ6maLi2VmYRX9R,https://api.spotify.com/v1/tracks/2GJxkCRFJ6maLi2VmYRX9R,187730,hot
71,Dah Dah DahDah,Nardo Wick,2TSfStvlAMLw89u3tali79,https://open.spotify.com/artist/0Njy6yR9LykNKYg9yE23QN,0.66,0.373,11,-10.234,1,0.595,0.149,0,0.106,0.35,167.912,spotify:track:2TSfStvlAMLw89u3tali79,https://api.spotify.com/v1/tracks/2TSfStvlAMLw89u3tali79,151776,hot
72,Whiskey On You,Nate Smith,6Tm4Io4ct4w14nB1EUzsY3,https://open.spotify.com/artist/4NYMUsIcUUsBHbV9DICa5x,0.479,0.768,8,-5.204,1,0.0312,7.02e-05,0.00549,0.121,0.576,110.024,spotify:track:6Tm4Io4ct4w14nB1EUzsY3,https://api.spotify.com/v1/tracks/6Tm4Io4ct4w14nB1EUzsY3,183790,hot
73,I Know It,Rod Wave,2Ty1Z8Q0bRF7niZuO8D5rW,https://open.spotify.com/artist/45TgXXqMDdF8BkjA83OM7z,0.626,0.772,5,-6.797,1,0.057,0.339,0,0.135,0.31,162.975,spotify:track:2Ty1Z8Q0bRF7niZuO8D5rW,https://api.spotify.com/v1/tracks/2Ty1Z8Q0bRF7niZuO8D5rW,157546,hot
74,Last Last,Burna Boy,67SiENVpgIE9UBYpCuQ3t9,https://open.spotify.com/artist/3wcj11K77LjEY1PkEazffa,0.795,0.565,3,-4.457,0,0.0948,0.131,0,0.0802,0.55,87.925,spotify:track:67SiENVpgIE9UBYpCuQ3t9,https://api.spotify.com/v1/tracks/67SiENVpgIE9UBYpCuQ3t9,172342,hot
75,Tarot,"Bad Bunny, Jhay Cortez",41oY4WCTj5kccfesTVFnvN,https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X,0.795,0.684,11,-3.971,0,0.0419,0.0225,0,0.658,0.419,114.011,spotify:track:41oY4WCTj5kccfesTVFnvN,https://api.spotify.com/v1/tracks/41oY4WCTj5kccfesTVFnvN,237895,hot
76,With A Woman You Love,Justin Moore,3wBZZdtzf3XbUiGHnpO00b,https://open.spotify.com/artist/30e8DmahrEamvLbFRPdWmk,0.611,0.756,7,-4.483,1,0.0288,0.0587,0,0.378,0.596,106.012,spotify:track:3wBZZdtzf3XbUiGHnpO00b,https://api.spotify.com/v1/tracks/3wBZZdtzf3XbUiGHnpO00b,167376,hot
