title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,track_href,duration_ms,label,links
You Never Let Go,Matt Redman,0lQqbG7v9LEyjGnJ3hJThG,0.494,0.39,11,-8.124,1,0.0279,0.717,0.0,0.165,0.282,78.996,spotify:track:0lQqbG7v9LEyjGnJ3hJThG,https://api.spotify.com/v1/tracks/0lQqbG7v9LEyjGnJ3hJThG,263853,nothot,https://open.spotify.com/track/0lQqbG7v9LEyjGnJ3hJThG
Three Pope (feat. Monty Alexander),Ernie Ranglin,6MBxnM9ZZpXpqpKbY9B8Y2,0.676,0.542,5,-10.729,1,0.0487,0.459,0.904,0.131,0.725,146.027,spotify:track:6MBxnM9ZZpXpqpKbY9B8Y2,https://api.spotify.com/v1/tracks/6MBxnM9ZZpXpqpKbY9B8Y2,207200,nothot,https://open.spotify.com/track/6MBxnM9ZZpXpqpKbY9B8Y2
Screenager,Muse,033IZMP0kKR0RC1h4Z2NVy,0.375,0.403,2,-12.776,0,0.0286,0.745,0.546,0.181,0.207,80.661,spotify:track:033IZMP0kKR0RC1h4Z2NVy,https://api.spotify.com/v1/tracks/033IZMP0kKR0RC1h4Z2NVy,260000,nothot,https://open.spotify.com/track/033IZMP0kKR0RC1h4Z2NVy
The Hustle,Van McCoy,06sImcalauWP5m1XIWTLTI,0.645,0.822,5,-12.08,1,0.0569,0.0334,0.66,0.0642,0.879,111.478,spotify:track:06sImcalauWP5m1XIWTLTI,https://api.spotify.com/v1/tracks/06sImcalauWP5m1XIWTLTI,242040,nothot,https://open.spotify.com/track/06sImcalauWP5m1XIWTLTI
So Insane,Discovery,1odU6ORtuHt4GqVYbtfzQN,0.638,0.604,1,-5.637,1,0.187,0.0412,0.00114,0.206,0.691,110.006,spotify:track:1odU6ORtuHt4GqVYbtfzQN,https://api.spotify.com/v1/tracks/1odU6ORtuHt4GqVYbtfzQN,192533,nothot,https://open.spotify.com/track/1odU6ORtuHt4GqVYbtfzQN
Keep You Much Longer,Akon,2vmGdxSGSkWTZJmtDLPvGC,0.714,0.945,0,-3.225,1,0.0485,0.133,0.0,0.132,0.611,120.027,spotify:track:2vmGdxSGSkWTZJmtDLPvGC,https://api.spotify.com/v1/tracks/2vmGdxSGSkWTZJmtDLPvGC,260867,nothot,https://open.spotify.com/track/2vmGdxSGSkWTZJmtDLPvGC
Yer So Bad,Tom Petty,2ZS3jFe6p8UoVyrY5jWBlF,0.569,0.55,7,-12.859,1,0.0275,0.00771,0.0,0.179,0.746,90.454,spotify:track:2ZS3jFe6p8UoVyrY5jWBlF,https://api.spotify.com/v1/tracks/2ZS3jFe6p8UoVyrY5jWBlF,185667,nothot,https://open.spotify.com/track/2ZS3jFe6p8UoVyrY5jWBlF
I Ran,A Flock Of Seagulls,173PnvZh4grHTf31DPXDbJ,0.514,0.639,2,-12.348,1,0.0358,0.000364,0.895,0.136,0.661,145.499,spotify:track:173PnvZh4grHTf31DPXDbJ,https://api.spotify.com/v1/tracks/173PnvZh4grHTf31DPXDbJ,219933,nothot,https://open.spotify.com/track/173PnvZh4grHTf31DPXDbJ
Premonicion,Gazpacho,4vcVpCDTMbA8Ruo3lkRFaG,0.375,0.741,11,-4.884,0,0.0347,0.00437,2.31e-06,0.0803,0.36,182.166,spotify:track:4vcVpCDTMbA8Ruo3lkRFaG,https://api.spotify.com/v1/tracks/4vcVpCDTMbA8Ruo3lkRFaG,253640,nothot,https://open.spotify.com/track/4vcVpCDTMbA8Ruo3lkRFaG
Paradise By The Dashboard Light,Meat Loaf,2g7gviEeJr6pyxO7G35EWQ,0.326,0.872,2,-7.602,1,0.122,0.214,0.0,0.461,0.492,173.381,spotify:track:2g7gviEeJr6pyxO7G35EWQ,https://api.spotify.com/v1/tracks/2g7gviEeJr6pyxO7G35EWQ,508333,nothot,https://open.spotify.com/track/2g7gviEeJr6pyxO7G35EWQ
Latin Simone (Que Pasa Contigo),Gorillaz,5A0FQhWDBk2YSPiMjSZxe5,0.51,0.763,6,-4.506,1,0.0706,0.0516,0.0151,0.101,0.344,173.052,spotify:track:5A0FQhWDBk2YSPiMjSZxe5,https://api.spotify.com/v1/tracks/5A0FQhWDBk2YSPiMjSZxe5,218867,nothot,https://open.spotify.com/track/5A0FQhWDBk2YSPiMjSZxe5
Where The White Boys Dance,The Killers,3rfgt8fw5l6of33oj81VXn,0.68,0.869,6,-5.805,1,0.0421,0.0393,2.05e-05,0.386,0.556,107.262,spotify:track:3rfgt8fw5l6of33oj81VXn,https://api.spotify.com/v1/tracks/3rfgt8fw5l6of33oj81VXn,206200,nothot,https://open.spotify.com/track/3rfgt8fw5l6of33oj81VXn
