title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,track_href,duration_ms,label,links
Super Freaky Girl,Nicki Minaj,4C6Uex2ILwJi9sZXRdmqXp,0.95,0.891,2,-2.653,1,0.241,0.0645,1.77e-05,0.309,0.912,133.01,spotify:track:4C6Uex2ILwJi9sZXRdmqXp,https://api.spotify.com/v1/tracks/4C6Uex2ILwJi9sZXRdmqXp,170977,hot,https://open.spotify.com/track/4C6Uex2ILwJi9sZXRdmqXp
As It Was,Harry Styles,4LRPiXqCikLlN15c3yImP7,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,spotify:track:4LRPiXqCikLlN15c3yImP7,https://api.spotify.com/v1/tracks/4LRPiXqCikLlN15c3yImP7,167303,hot,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
About Damn Time,Lizzo,1PckUlxKqWQs3RlWXVBLw3,0.836,0.743,10,-6.305,0,0.0656,0.0995,0.0,0.335,0.722,108.966,spotify:track:1PckUlxKqWQs3RlWXVBLw3,https://api.spotify.com/v1/tracks/1PckUlxKqWQs3RlWXVBLw3,191822,hot,https://open.spotify.com/track/1PckUlxKqWQs3RlWXVBLw3
Break My Soul,Beyonce,2KukL7UlQ8TdvpaA7bY3ZJ,0.687,0.887,1,-5.04,0,0.0826,0.0575,2.21e-06,0.27,0.853,114.941,spotify:track:2KukL7UlQ8TdvpaA7bY3ZJ,https://api.spotify.com/v1/tracks/2KukL7UlQ8TdvpaA7bY3ZJ,278282,hot,https://open.spotify.com/track/2KukL7UlQ8TdvpaA7bY3ZJ
Running Up That Hill (A Deal With God),Kate Bush,75FEaRjZTKLhTrFGsfMUXR,0.629,0.547,10,-13.123,0,0.055,0.72,0.00314,0.0604,0.197,108.375,spotify:track:75FEaRjZTKLhTrFGsfMUXR,https://api.spotify.com/v1/tracks/75FEaRjZTKLhTrFGsfMUXR,298933,hot,https://open.spotify.com/track/75FEaRjZTKLhTrFGsfMUXR
Bad Habit,Steve Lacy,4k6Uh1HXdhtusDW5y8Gbvy,0.686,0.494,1,-7.093,1,0.0355,0.613,5.8e-05,0.402,0.7,168.946,spotify:track:4k6Uh1HXdhtusDW5y8Gbvy,https://api.spotify.com/v1/tracks/4k6Uh1HXdhtusDW5y8Gbvy,232067,hot,https://open.spotify.com/track/4k6Uh1HXdhtusDW5y8Gbvy
Sunroof,"Nicky Youre, dazy",4h4QlmocP3IuwYEj2j14p8,0.768,0.714,10,-5.11,1,0.0401,0.352,0.0,0.15,0.842,131.443,spotify:track:4h4QlmocP3IuwYEj2j14p8,https://api.spotify.com/v1/tracks/4h4QlmocP3IuwYEj2j14p8,163026,hot,https://open.spotify.com/track/4h4QlmocP3IuwYEj2j14p8
Wait For U,"Future, Drake, Tems",59nOXPmaKlBfGMDeOVGrIK,0.463,0.642,1,-4.474,1,0.34,0.314,0.0,0.0686,0.339,83.389,spotify:track:59nOXPmaKlBfGMDeOVGrIK,https://api.spotify.com/v1/tracks/59nOXPmaKlBfGMDeOVGrIK,189893,hot,https://open.spotify.com/track/59nOXPmaKlBfGMDeOVGrIK
Me Porto Bonito,"Bad Bunny, Chencho Corleone",6Sq7ltF9Qa7SNFBsV5Cogx,0.911,0.712,1,-5.105,0,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,https://api.spotify.com/v1/tracks/6Sq7ltF9Qa7SNFBsV5Cogx,178567,hot,https://open.spotify.com/track/6Sq7ltF9Qa7SNFBsV5Cogx
I Like You (A Happier Song),"Post Malone, Doja Cat",4R1ErqGv5SbSVxItEexzyG,0.733,0.67,5,-6.009,1,0.0751,0.121,0.0,0.121,0.472,100.964,spotify:track:4R1ErqGv5SbSVxItEexzyG,https://api.spotify.com/v1/tracks/4R1ErqGv5SbSVxItEexzyG,192841,hot,https://open.spotify.com/track/4R1ErqGv5SbSVxItEexzyG
Late Night Talking,Harry Styles,1qEmFfgcLObUfQm0j1W2CK,0.714,0.728,10,-4.595,1,0.0468,0.298,0.0,0.106,0.901,114.996,spotify:track:1qEmFfgcLObUfQm0j1W2CK,https://api.spotify.com/v1/tracks/1qEmFfgcLObUfQm0j1W2CK,177955,hot,https://open.spotify.com/track/1qEmFfgcLObUfQm0j1W2CK
First Class,Jack Harlow,3JLIRbfoOovZBhBBm9eX0E,0.905,0.563,8,-6.135,1,0.102,0.0254,9.71e-06,0.113,0.324,106.998,spotify:track:3JLIRbfoOovZBhBBm9eX0E,https://api.spotify.com/v1/tracks/3JLIRbfoOovZBhBBm9eX0E,173948,hot,https://open.spotify.com/track/3JLIRbfoOovZBhBBm9eX0E
Heat Waves,Glass Animals,6CDzDgIUqeDY5g8ujExx2f,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,spotify:track:6CDzDgIUqeDY5g8ujExx2f,https://api.spotify.com/v1/tracks/6CDzDgIUqeDY5g8ujExx2f,238805,hot,https://open.spotify.com/track/6CDzDgIUqeDY5g8ujExx2f
The Kind Of Love We Make,Luke Combs,28n8z9IQKyjMPxmvYMBqZa,0.608,0.745,1,-4.13,1,0.0277,0.0226,6.47e-06,0.0942,0.464,102.025,spotify:track:28n8z9IQKyjMPxmvYMBqZa,https://api.spotify.com/v1/tracks/28n8z9IQKyjMPxmvYMBqZa,224427,hot,https://open.spotify.com/track/28n8z9IQKyjMPxmvYMBqZa
You Proof,Morgan Wallen,5uU1uuyaUIBOiiUSQG7Wl3,0.731,0.85,9,-4.913,1,0.0336,0.252,0.0,0.605,0.644,119.706,spotify:track:5uU1uuyaUIBOiiUSQG7Wl3,https://api.spotify.com/v1/tracks/5uU1uuyaUIBOiiUSQG7Wl3,157478,hot,https://open.spotify.com/track/5uU1uuyaUIBOiiUSQG7Wl3
Titi Me Pregunto,Bad Bunny,1IHWl5LamUGEuP4ozKQSXZ,0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,spotify:track:1IHWl5LamUGEuP4ozKQSXZ,https://api.spotify.com/v1/tracks/1IHWl5LamUGEuP4ozKQSXZ,243717,hot,https://open.spotify.com/track/1IHWl5LamUGEuP4ozKQSXZ
I Ain't Worried,OneRepublic,4h9wh7iOZ0GGn8QVp4RAOB,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,https://api.spotify.com/v1/tracks/4h9wh7iOZ0GGn8QVp4RAOB,148486,hot,https://open.spotify.com/track/4h9wh7iOZ0GGn8QVp4RAOB
She Had Me At Heads Carolina,Cole Swindell,46OXjjzVU98UX2fzJInPMv,0.607,0.912,8,-3.449,1,0.0611,0.124,0.0,0.332,0.722,134.944,spotify:track:46OXjjzVU98UX2fzJInPMv,https://api.spotify.com/v1/tracks/46OXjjzVU98UX2fzJInPMv,206107,hot,https://open.spotify.com/track/46OXjjzVU98UX2fzJInPMv
Wasted On You,Morgan Wallen,3cBsEDNhFI9E82vPj3kvi3,0.505,0.657,11,-5.24,0,0.0318,0.373,0.00107,0.126,0.252,196.0,spotify:track:3cBsEDNhFI9E82vPj3kvi3,https://api.spotify.com/v1/tracks/3cBsEDNhFI9E82vPj3kvi3,178520,hot,https://open.spotify.com/track/3cBsEDNhFI9E82vPj3kvi3
Stay,"The Kid LAROI, Justin Bieber",5HCyWlXZPP0y6Gqq8TgA20,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/tracks/5HCyWlXZPP0y6Gqq8TgA20,141806,hot,https://open.spotify.com/track/5HCyWlXZPP0y6Gqq8TgA20
Alone,Rod Wave,5ie5OPdaP9fivYaKcjwKF1,0.596,0.545,3,-6.911,0,0.0368,0.703,0.0,0.0811,0.0923,82.07,spotify:track:5ie5OPdaP9fivYaKcjwKF1,https://api.spotify.com/v1/tracks/5ie5OPdaP9fivYaKcjwKF1,191159,hot,https://open.spotify.com/track/5ie5OPdaP9fivYaKcjwKF1
Jimmy Cooks,"Drake, 21 Savage",3F5CgOj3wFlRv51JsHbxhe,0.529,0.673,0,-4.711,1,0.175,0.000307,2.41e-06,0.093,0.366,165.921,spotify:track:3F5CgOj3wFlRv51JsHbxhe,https://api.spotify.com/v1/tracks/3F5CgOj3wFlRv51JsHbxhe,218365,hot,https://open.spotify.com/track/3F5CgOj3wFlRv51JsHbxhe
Staying Alive,"DJ Khaled, Drake, Lil Baby",0g2Bbgy7P41pFjMWJuzsf4,0.718,0.461,4,-7.676,0,0.0797,0.068,0.0,0.283,0.181,129.953,spotify:track:0g2Bbgy7P41pFjMWJuzsf4,https://api.spotify.com/v1/tracks/0g2Bbgy7P41pFjMWJuzsf4,178176,hot,https://open.spotify.com/track/0g2Bbgy7P41pFjMWJuzsf4
Big Energy,Latto,4pi1G1x8tl9VfdD9bL3maT,0.937,0.793,11,-4.431,0,0.115,0.0453,0.0,0.341,0.794,106.022,spotify:track:4pi1G1x8tl9VfdD9bL3maT,https://api.spotify.com/v1/tracks/4pi1G1x8tl9VfdD9bL3maT,172540,hot,https://open.spotify.com/track/4pi1G1x8tl9VfdD9bL3maT
Vegas,Doja Cat,0hquQWY3xvYqN4qtiquniF,0.801,0.601,8,-7.574,0,0.255,0.0777,3.23e-05,0.145,0.74,159.969,spotify:track:0hquQWY3xvYqN4qtiquniF,https://api.spotify.com/v1/tracks/0hquQWY3xvYqN4qtiquniF,182907,hot,https://open.spotify.com/track/0hquQWY3xvYqN4qtiquniF
Moscow Mule,Bad Bunny,6Xom58OOXk2SoU711L2IXO,0.804,0.674,5,-5.453,0,0.0333,0.294,1.18e-06,0.115,0.292,99.968,spotify:track:6Xom58OOXk2SoU711L2IXO,https://api.spotify.com/v1/tracks/6Xom58OOXk2SoU711L2IXO,245940,hot,https://open.spotify.com/track/6Xom58OOXk2SoU711L2IXO
Glimpse Of Us,Joji,6xGruZOHLs39ZbVccQTuPZ,0.44,0.317,8,-9.258,1,0.0531,0.891,4.78e-06,0.141,0.268,169.914,spotify:track:6xGruZOHLs39ZbVccQTuPZ,https://api.spotify.com/v1/tracks/6xGruZOHLs39ZbVccQTuPZ,233456,hot,https://open.spotify.com/track/6xGruZOHLs39ZbVccQTuPZ
Ghost,Justin Bieber,3bkCaaqG2DiuU9acnquxgx,0.604,0.741,2,-5.571,1,0.0475,0.178,3.49e-05,0.409,0.473,153.947,spotify:track:3bkCaaqG2DiuU9acnquxgx,https://api.spotify.com/v1/tracks/3bkCaaqG2DiuU9acnquxgx,153190,hot,https://open.spotify.com/track/3bkCaaqG2DiuU9acnquxgx
Like I Love Country Music,Kane Brown,3j1xkzTW8owIphkWV51V9s,0.542,0.82,8,-6.073,1,0.0432,0.000682,0.000136,0.0561,0.702,124.85,spotify:track:3j1xkzTW8owIphkWV51V9s,https://api.spotify.com/v1/tracks/3j1xkzTW8owIphkWV51V9s,234341,hot,https://open.spotify.com/track/3j1xkzTW8owIphkWV51V9s
Shivers,Ed Sheeran,1qtW0GtT2ixzYIMsNVY1cY,0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02,spotify:track:1qtW0GtT2ixzYIMsNVY1cY,https://api.spotify.com/v1/tracks/1qtW0GtT2ixzYIMsNVY1cY,207853,hot,https://open.spotify.com/track/1qtW0GtT2ixzYIMsNVY1cY
Fall In Love,Bailey Zimmerman,5VXT95SMr6gnlP9hDGc0Bb,0.524,0.643,9,-6.055,1,0.0297,0.451,0.0,0.221,0.397,135.962,spotify:track:5VXT95SMr6gnlP9hDGc0Bb,https://api.spotify.com/v1/tracks/5VXT95SMr6gnlP9hDGc0Bb,232059,hot,https://open.spotify.com/track/5VXT95SMr6gnlP9hDGc0Bb
5 Foot 9,Tyler Hubbard,6AqwH2Y9FJwhUE2dCSkw1u,0.602,0.796,5,-5.609,1,0.0465,0.146,0.0,0.125,0.53,106.005,spotify:track:6AqwH2Y9FJwhUE2dCSkw1u,https://api.spotify.com/v1/tracks/6AqwH2Y9FJwhUE2dCSkw1u,189780,hot,https://open.spotify.com/track/6AqwH2Y9FJwhUE2dCSkw1u
Numb Little Bug,Em Beihold,5UdShqueI5QSRsLt8MqzYU,0.742,0.527,8,-6.892,0,0.0769,0.327,0.0,0.25,0.638,84.974,spotify:track:5UdShqueI5QSRsLt8MqzYU,https://api.spotify.com/v1/tracks/5UdShqueI5QSRsLt8MqzYU,169238,hot,https://open.spotify.com/track/5UdShqueI5QSRsLt8MqzYU
In A Minute,Lil Baby,3ihIZrJreMJPjQdNLrEXnP,0.643,0.605,4,-5.968,0,0.297,0.0336,0.0,0.112,0.145,84.216,spotify:track:3ihIZrJreMJPjQdNLrEXnP,https://api.spotify.com/v1/tracks/3ihIZrJreMJPjQdNLrEXnP,200471,hot,https://open.spotify.com/track/3ihIZrJreMJPjQdNLrEXnP
Yungen,"Rod Wave, Jack Harlow",1NtyeXryylf8HWXnxVTD3v,0.614,0.744,11,-5.52,1,0.125,0.309,1.14e-06,0.173,0.589,146.02,spotify:track:1NtyeXryylf8HWXnxVTD3v,https://api.spotify.com/v1/tracks/1NtyeXryylf8HWXnxVTD3v,226115,hot,https://open.spotify.com/track/1NtyeXryylf8HWXnxVTD3v
Last Night Lonely,Jon Pardi,3jTVs5E8OxbH2ZOQTfa4tH,0.646,0.816,6,-2.65,1,0.0269,0.00496,0.0,0.179,0.865,102.972,spotify:track:3jTVs5E8OxbH2ZOQTfa4tH,https://api.spotify.com/v1/tracks/3jTVs5E8OxbH2ZOQTfa4tH,181991,hot,https://open.spotify.com/track/3jTVs5E8OxbH2ZOQTfa4tH
Cold Heart (PNAU Remix),"Elton John, Dua Lipa",6zSpb8dQRaw0M1dK8PBwQz,0.796,0.798,1,-6.312,1,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,spotify:track:6zSpb8dQRaw0M1dK8PBwQz,https://api.spotify.com/v1/tracks/6zSpb8dQRaw0M1dK8PBwQz,202735,hot,https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz
Efecto,Bad Bunny,5Eax0qFko2dh7Rl2lYs3bx,0.801,0.475,7,-8.797,0,0.0516,0.141,1.73e-05,0.0639,0.234,98.047,spotify:track:5Eax0qFko2dh7Rl2lYs3bx,https://api.spotify.com/v1/tracks/5Eax0qFko2dh7Rl2lYs3bx,213061,hot,https://open.spotify.com/track/5Eax0qFko2dh7Rl2lYs3bx
Rock And A Hard Place,Bailey Zimmerman,1T9AcIIyu5asRIDT4p2CYX,0.582,0.568,1,-7.3,1,0.0275,0.577,0.0,0.105,0.394,121.991,spotify:track:1T9AcIIyu5asRIDT4p2CYX,https://api.spotify.com/v1/tracks/1T9AcIIyu5asRIDT4p2CYX,207541,hot,https://open.spotify.com/track/1T9AcIIyu5asRIDT4p2CYX
Left And Right,"Charlie Puth, Jung Kook",0mBP9X2gPCuapvpZ7TGDk3,0.881,0.592,2,-4.898,1,0.0324,0.619,1.32e-05,0.0901,0.719,101.058,spotify:track:0mBP9X2gPCuapvpZ7TGDk3,https://api.spotify.com/v1/tracks/0mBP9X2gPCuapvpZ7TGDk3,154487,hot,https://open.spotify.com/track/0mBP9X2gPCuapvpZ7TGDk3
Sticky,Drake,4rmVZajAF7PkrCagGPHbqa,0.853,0.495,6,-14.63,1,0.14,0.0917,0.000217,0.0844,0.0774,137.027,spotify:track:4rmVZajAF7PkrCagGPHbqa,https://api.spotify.com/v1/tracks/4rmVZajAF7PkrCagGPHbqa,243228,hot,https://open.spotify.com/track/4rmVZajAF7PkrCagGPHbqa
Something In The Orange,Zach Bryan,25fYlxEO1UahsmlIHDAFHd,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,spotify:track:25fYlxEO1UahsmlIHDAFHd,https://api.spotify.com/v1/tracks/25fYlxEO1UahsmlIHDAFHd,228013,hot,https://open.spotify.com/track/25fYlxEO1UahsmlIHDAFHd
Provenza,Karol G,7dSZ6zGTQx66c2GF91xCrb,0.87,0.516,1,-8.006,1,0.0541,0.656,0.00823,0.11,0.53,111.005,spotify:track:7dSZ6zGTQx66c2GF91xCrb,https://api.spotify.com/v1/tracks/7dSZ6zGTQx66c2GF91xCrb,210200,hot,https://open.spotify.com/track/7dSZ6zGTQx66c2GF91xCrb
Get Into It (Yuh),Doja Cat,0W6I02J9xcqK8MtSeosEXb,0.912,0.655,8,-6.029,0,0.162,0.315,3.39e-05,0.0894,0.793,91.942,spotify:track:0W6I02J9xcqK8MtSeosEXb,https://api.spotify.com/v1/tracks/0W6I02J9xcqK8MtSeosEXb,138293,hot,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
Betty (Get Money),Yung Gravy,0BCRQSNqCDIU7RbCpJMqqn,0.723,0.772,1,-6.784,1,0.0792,0.00524,1.15e-05,0.367,0.58,102.004,spotify:track:0BCRQSNqCDIU7RbCpJMqqn,https://api.spotify.com/v1/tracks/0BCRQSNqCDIU7RbCpJMqqn,146471,hot,https://open.spotify.com/track/0BCRQSNqCDIU7RbCpJMqqn
Son Of A Sinner,Jelly Roll,25VQoiuyc0HkC5FQTj1a8G,0.365,0.541,7,-7.489,1,0.0304,0.0419,2.25e-06,0.281,0.329,86.041,spotify:track:25VQoiuyc0HkC5FQTj1a8G,https://api.spotify.com/v1/tracks/25VQoiuyc0HkC5FQTj1a8G,232093,hot,https://open.spotify.com/track/25VQoiuyc0HkC5FQTj1a8G
Numb,"Marshmello, Khalid",10xV5l9nhLvFpR8mqzs0bL,0.912,0.774,0,-4.673,0,0.0455,0.121,0.0127,0.101,0.632,119.966,spotify:track:10xV5l9nhLvFpR8mqzs0bL,https://api.spotify.com/v1/tracks/10xV5l9nhLvFpR8mqzs0bL,155589,hot,https://open.spotify.com/track/10xV5l9nhLvFpR8mqzs0bL
Never Get Over Me,Rod Wave,5sRUXYW5XqkHpGUjNIaU1W,0.689,0.626,4,-10.224,1,0.065,0.21,0.0,0.109,0.453,157.954,spotify:track:5sRUXYW5XqkHpGUjNIaU1W,https://api.spotify.com/v1/tracks/5sRUXYW5XqkHpGUjNIaU1W,170127,hot,https://open.spotify.com/track/5sRUXYW5XqkHpGUjNIaU1W
Sweetest Pie,"Megan Thee Stallion, Dua Lipa",7mFj0LlWtEJaEigguaWqYh,0.814,0.628,7,-7.178,1,0.221,0.167,0.0,0.101,0.677,123.977,spotify:track:7mFj0LlWtEJaEigguaWqYh,https://api.spotify.com/v1/tracks/7mFj0LlWtEJaEigguaWqYh,201334,hot,https://open.spotify.com/track/7mFj0LlWtEJaEigguaWqYh
Super Gremlin,Kodak Black,3IcKnrjlIvfYBT4oJXm6PW,0.825,0.414,2,-6.634,1,0.144,0.00265,0.0,0.357,0.106,72.993,spotify:track:3IcKnrjlIvfYBT4oJXm6PW,https://api.spotify.com/v1/tracks/3IcKnrjlIvfYBT4oJXm6PW,200548,hot,https://open.spotify.com/track/3IcKnrjlIvfYBT4oJXm6PW
Sweet Little Lies,Rod Wave,0qjoeS8gwEFqf0ju66ledI,0.656,0.679,10,-8.594,1,0.0598,0.014,0.0,0.101,0.27,159.978,spotify:track:0qjoeS8gwEFqf0ju66ledI,https://api.spotify.com/v1/tracks/0qjoeS8gwEFqf0ju66ledI,174750,hot,https://open.spotify.com/track/0qjoeS8gwEFqf0ju66ledI
Take My Name,Parmalee,2afB4eV1KWBqLqFqME6PTh,0.559,0.66,7,-4.143,1,0.0512,0.222,0.0,0.193,0.574,163.957,spotify:track:2afB4eV1KWBqLqFqME6PTh,https://api.spotify.com/v1/tracks/2afB4eV1KWBqLqFqME6PTh,157907,hot,https://open.spotify.com/track/2afB4eV1KWBqLqFqME6PTh
F.N.F. (Let's Go),"Hitkidd, GloRilla",1vrFJDrysqmsNAgyjBzx4f,0.864,0.476,1,-10.068,1,0.436,0.0374,0.0,0.374,0.647,157.144,spotify:track:1vrFJDrysqmsNAgyjBzx4f,https://api.spotify.com/v1/tracks/1vrFJDrysqmsNAgyjBzx4f,137580,hot,https://open.spotify.com/track/1vrFJDrysqmsNAgyjBzx4f
Hot Shit,"Cardi B, Ye, Lil Durk",46A6OmditeIgZcIm6t3fkD,0.878,0.685,9,-5.28,1,0.225,0.00152,0.0,0.0753,0.523,157.003,spotify:track:46A6OmditeIgZcIm6t3fkD,https://api.spotify.com/v1/tracks/46A6OmditeIgZcIm6t3fkD,211649,hot,https://open.spotify.com/track/46A6OmditeIgZcIm6t3fkD
Party,"Bad Bunny, Rauw Alejandro",4tYFy8ALRjIZvnvSLw5lxN,0.829,0.799,9,-5.389,1,0.0897,0.0151,0.000543,0.242,0.471,97.013,spotify:track:4tYFy8ALRjIZvnvSLw5lxN,https://api.spotify.com/v1/tracks/4tYFy8ALRjIZvnvSLw5lxN,227629,hot,https://open.spotify.com/track/4tYFy8ALRjIZvnvSLw5lxN
Damn Strait,Scotty McCreery,4jp9FimhP2bQ93vR0A5r7b,0.523,0.64,4,-6.15,1,0.0295,0.0512,5.52e-05,0.0675,0.48,144.022,spotify:track:4jp9FimhP2bQ93vR0A5r7b,https://api.spotify.com/v1/tracks/4jp9FimhP2bQ93vR0A5r7b,230227,hot,https://open.spotify.com/track/4jp9FimhP2bQ93vR0A5r7b
Bad Decisions,"benny blanco, BTS, Snoop Dogg",0xzI1KAr0Yd9tv8jlIk3sn,0.762,0.861,0,-3.296,1,0.0955,0.0185,0.0,0.264,0.955,120.048,spotify:track:0xzI1KAr0Yd9tv8jlIk3sn,https://api.spotify.com/v1/tracks/0xzI1KAr0Yd9tv8jlIk3sn,172714,hot,https://open.spotify.com/track/0xzI1KAr0Yd9tv8jlIk3sn
Forever,Rod Wave,4mChXwwU4xbiYIP7QQeLFP,0.626,0.524,3,-8.987,1,0.0411,0.566,1.14e-05,0.103,0.451,129.996,spotify:track:4mChXwwU4xbiYIP7QQeLFP,https://api.spotify.com/v1/tracks/4mChXwwU4xbiYIP7QQeLFP,214186,hot,https://open.spotify.com/track/4mChXwwU4xbiYIP7QQeLFP
Ojitos Lindos,"Bad Bunny, Bomba Estereo",3k3NWokhRRkEPhCzPmV8TW,0.647,0.686,3,-5.745,0,0.0413,0.08,1.34e-06,0.528,0.268,79.928,spotify:track:3k3NWokhRRkEPhCzPmV8TW,https://api.spotify.com/v1/tracks/3k3NWokhRRkEPhCzPmV8TW,258299,hot,https://open.spotify.com/track/3k3NWokhRRkEPhCzPmV8TW
Bones,Imagine Dragons,0HqZX76SFLDz2aW8aiqi7G,0.773,0.742,5,-3.678,0,0.046,0.0206,0.0,0.0754,0.571,114.071,spotify:track:0HqZX76SFLDz2aW8aiqi7G,https://api.spotify.com/v1/tracks/0HqZX76SFLDz2aW8aiqi7G,165265,hot,https://open.spotify.com/track/0HqZX76SFLDz2aW8aiqi7G
So Good,Halsey,6kxaaIeowajN7w21PfMLbu,0.576,0.627,3,-4.649,0,0.0449,0.0385,0.0,0.181,0.311,164.998,spotify:track:6kxaaIeowajN7w21PfMLbu,https://api.spotify.com/v1/tracks/6kxaaIeowajN7w21PfMLbu,176059,hot,https://open.spotify.com/track/6kxaaIeowajN7w21PfMLbu
Her,Megan Thee Stallion,5hHvFrMnwic82WwRLr4WY0,0.945,0.848,1,-4.76,1,0.326,0.374,3.31e-05,0.101,0.819,119.918,spotify:track:5hHvFrMnwic82WwRLr4WY0,https://api.spotify.com/v1/tracks/5hHvFrMnwic82WwRLr4WY0,137107,hot,https://open.spotify.com/track/5hHvFrMnwic82WwRLr4WY0
Sleazy Flow,"SleazyWorld Go, Lil Baby",5cx7vkF8BQ0iOsVpfvZbnz,0.869,0.298,2,-12.076,1,0.386,0.2,0.0,0.0753,0.178,77.47,spotify:track:5cx7vkF8BQ0iOsVpfvZbnz,https://api.spotify.com/v1/tracks/5cx7vkF8BQ0iOsVpfvZbnz,161355,hot,https://open.spotify.com/track/5cx7vkF8BQ0iOsVpfvZbnz
Victoria’s Secret,Jax,4svaKoxMMP7ImmKrD5hfQu,0.586,0.556,6,-7.639,1,0.0592,0.00655,0.0,0.0836,0.517,167.018,spotify:track:4svaKoxMMP7ImmKrD5hfQu,https://api.spotify.com/v1/tracks/4svaKoxMMP7ImmKrD5hfQu,176125,hot,https://open.spotify.com/track/4svaKoxMMP7ImmKrD5hfQu
Despues de La Playa,Bad Bunny,1dm6z1fWB0cErMszU25dy2,0.564,0.903,5,-3.221,1,0.307,0.356,0.0,0.175,0.607,78.293,spotify:track:1dm6z1fWB0cErMszU25dy2,https://api.spotify.com/v1/tracks/1dm6z1fWB0cErMszU25dy2,230400,hot,https://open.spotify.com/track/1dm6z1fWB0cErMszU25dy2
Stone Rolling,Rod Wave,4ur8qEgQgCCZaD1Jf4XRMF,0.622,0.533,2,-11.149,1,0.0452,0.0579,0.0,0.152,0.363,170.04,spotify:track:4ur8qEgQgCCZaD1Jf4XRMF,https://api.spotify.com/v1/tracks/4ur8qEgQgCCZaD1Jf4XRMF,180706,hot,https://open.spotify.com/track/4ur8qEgQgCCZaD1Jf4XRMF
Alien Superstar,Beyonce,1Hohk6AufHZOrrhMXZppax,0.545,0.641,10,-6.398,0,0.0998,0.00453,6.59e-05,0.171,0.464,121.892,spotify:track:1Hohk6AufHZOrrhMXZppax,https://api.spotify.com/v1/tracks/1Hohk6AufHZOrrhMXZppax,215460,hot,https://open.spotify.com/track/1Hohk6AufHZOrrhMXZppax
Unstoppable,Sia,1yvMUkIOTeUNtNWlWRgANS,0.468,0.779,9,-4.839,1,0.0779,0.112,0.000373,0.101,0.26,173.799,spotify:track:1yvMUkIOTeUNtNWlWRgANS,https://api.spotify.com/v1/tracks/1yvMUkIOTeUNtNWlWRgANS,217747,hot,https://open.spotify.com/track/1yvMUkIOTeUNtNWlWRgANS
Free Mind,Tems,2mzM4Y0Rnx2BDZqRnhQ5Q6,0.562,0.463,6,-7.478,1,0.0787,0.442,0.000145,0.157,0.416,125.15,spotify:track:2mzM4Y0Rnx2BDZqRnhQ5Q6,https://api.spotify.com/v1/tracks/2mzM4Y0Rnx2BDZqRnhQ5Q6,247579,hot,https://open.spotify.com/track/2mzM4Y0Rnx2BDZqRnhQ5Q6
Wishful Drinking,"Ingrid Andress, Sam Hunt",5OnX7kQHcoutXhqgL76VJQ,0.678,0.528,10,-7.317,1,0.0551,0.289,0.0,0.0734,0.614,79.018,spotify:track:5OnX7kQHcoutXhqgL76VJQ,https://api.spotify.com/v1/tracks/5OnX7kQHcoutXhqgL76VJQ,194545,hot,https://open.spotify.com/track/5OnX7kQHcoutXhqgL76VJQ
No Deal,Rod Wave,2GJxkCRFJ6maLi2VmYRX9R,0.752,0.523,10,-8.033,1,0.355,0.0478,0.0,0.0622,0.192,81.48,spotify:track:2GJxkCRFJ6maLi2VmYRX9R,https://api.spotify.com/v1/tracks/2GJxkCRFJ6maLi2VmYRX9R,187730,hot,https://open.spotify.com/track/2GJxkCRFJ6maLi2VmYRX9R
Dah Dah DahDah,Nardo Wick,2TSfStvlAMLw89u3tali79,0.66,0.373,11,-10.234,1,0.595,0.149,0.0,0.106,0.35,167.912,spotify:track:2TSfStvlAMLw89u3tali79,https://api.spotify.com/v1/tracks/2TSfStvlAMLw89u3tali79,151776,hot,https://open.spotify.com/track/2TSfStvlAMLw89u3tali79
Whiskey On You,Nate Smith,6Tm4Io4ct4w14nB1EUzsY3,0.479,0.768,8,-5.204,1,0.0312,7.02e-05,0.00549,0.121,0.576,110.024,spotify:track:6Tm4Io4ct4w14nB1EUzsY3,https://api.spotify.com/v1/tracks/6Tm4Io4ct4w14nB1EUzsY3,183790,hot,https://open.spotify.com/track/6Tm4Io4ct4w14nB1EUzsY3
